animal;id;experience;test;path
fish;4;9;3;НОООФХША+КИФХХЦЗЗКЛЛКГ+ЗСЖЛМФХША-ШХХША-ШХЦКЛЛКГ-ЗССЗЩЦХША-А-А-ШХХША-ДДШХХШДСЕЛКДССДШХЦЗСЖЛКГ-Г-Г-ЗЗЗСЖЛЛЖССТ
fish;4;10;1;ПОФФООФФИЛЛКДСРРСДА+ШХЦЦХХФМКГ+ЩЦХШДДШХЦХШККШХЦЩЗЗЩЦХШДСР
fish;4;10;2;ПОФФФЦЩГ+КЛЛКЗССЗЩЦФМЛЖЖВЖССТ
fish;4;11;1;НОФХША+КИИКА-А-А-ДДА-ШХЦШГ+КМИЛЕСДШХЦЩГ-ККЩЦХША-ККА-ККА-ДДА-А-ШХЦЩГ-ЗСТ
fish;4;11;2;НОФХША+ШХХХЦЩГ+КЛЛКГ-Г-ЗССЗГ-ЩЦХША-ШХЦЩГ-КЛЖСЗГ-КЛЛКККГ-ЗЗЩЦХШДССДА-А-ШХЦЩГ-ЩХШШХЦЩГ-ЗССЗШ-ЩЦХША-ДДШХЦЩЗСТ
fish;4;11;3;НОФХША+ККА-ШХЦЩГ+ККГ-ЗССЗЩЦХША-ККА-ШХЦЩГ-КЛЛКГ-ЗСТТСЗЩЦХХЦЩГ-ЗСТТЖЛКГ-ЗЗГ-ЩЦХХФФЦЩГ-ЗСССССТ
fish;4;12;1;ПОФХША+КЛВЛКШХЦЩГ+Г-ЩЦХХФООМКГ-ЗССЗГ-ЩЦХША-ДСРРР
fish;4;12;2;НОМККЛЛКГ+КЛЛММКЩЦХША+ШХХШККДССДА-ШХЦЩЩЦХША-КЛЛИФЦЩГ-КЛЖССЖЛКЩЦХША-А-ДССДА-ШХЦЩЗССЗЩЦХШКЛЛКДСЕЛКА-ДДА-А-ШХХШДДШХЦЩКЛЖССТ
fish;4;13;1;НОМЛЛКЗССЗЗЗЗСЖЛКА+ШХФООООФХША-ШХЦЩГ-ККЗЗЩЦХША-КЛЛКА-ШХЦЩЗССТ
fish;4;13;2;НОФХША+ШХЦЩГ+ЗЗЩЦХХЦЩЗЗЩЦХША-А-ДСР
fish;4;14;1;НОФХША+ККА-ДСР
fish;4;14;2;ПОФФООИЛБЛКШХЦЩГ+ЗССЗЗЗГ-ЗССЗГ-ЩЦХША+КЛЛИООФХША-ККШХЦЦХША-ШХЦЩГ-ЗССЗГ-ЗЗГ-ЗЗЩЦХШКИООИКА-ШХЦЩГ-ЗССЗЩЦХША-ШХЦЩЗСТ
fish;4;14;3;ПОФХША+ШХХША-ШХЦЩГ+ЩЦХША-А-КИФХХЦГ-Г-ЩЦЦЩГ-ЗССЗКЛЛЖСЗГ-ЗСТ
fish;4;15;1;ПОФХША+КЛБЕССССЕЛЛЕСДА-А-ДССДШХЦЩЗСТ
fish;4;15;2;ПОМКЗСТ
fish;4;15;3;ПОФЦЦФООООИЛБЕСДССДА+ШХЦЦФФХША-А-А-ККА-ДССДА-ШХФООИЛБЕСДА-ШШДСССР
fish;4;16;1;НОФФООФХША+ШХФООММИЛЕЕЛКА-А-А-ШХЦЩГ+Г-Г-Г-Г-КЛЖССЖВЛКГ-Г-ЗЗЩЦХША-ШХЦЗССЗЩЦХША-ШХЦГ-ЗСЖЛКЗЗГ-ЗССЗЩЦХША-ДССДА-ШХЦГ-ЗЗЩЦХША-ДССДШХЦЗССЗЩЦХША-ШХЦЩЗСЖЛКГ-ЩЦХША-А-ШХЦЩЗССЗЩЦХКЛЕР
fish;4;16;2;НОФХШККШХЦЦХШДСЕЛКШХЦЦХШШХЦЦХХЦЩЗССЗГ+ЩЦХХЦЩЗССЗЩЦХША+ДСР
fish;4;16;3;НОФХША+ККА-ШХХШККА-КЛБЛККЛЕР
fish;4;16;4;НОФЦЩГ+ЩЦЦГ-КЛЖСЗЗСТ
fish;4;17;1;ПОООФХША+ШХЦЦФФХША-КЛЛИООФЦЦХХЦЩГ+ЗССЗЦЦЗССЗГ-Г-Г-ЗССЗГ-ЦХШДССДА-А-А-ШХХША-ДСРРЕЛКА-А-А-ДССДА-А-ШХЦЗЗГ-ЗССЗГ-ШЦХХЦЗССЗГ-Г-ЩЦХША-ККДССДА-А-ШХЦЗССЗГ-Г-ЩЦХА-ДССДА-ШХЦЗСТ
fish;4;17;2;НОФХША+ККШХЦЦХША-ШХЦЗЗГ+ЗСЖЛКГ-ЩЦХША-ККА-ШХЦЗССЗЩЦЦЗССЗЦХШДССДШХЦЗССЗЩЦЦЦХШШХЦЗССЗЩЦХША-ДДКЛЕСДА-ДСР
